minute,second,period,team_name,player_name,position_name,x,y,end_x,end_y,body_part_name,technique_name,play_pattern_name,under_pressure,shot_first_time,shot_one_on_one,shot_open_goal,shot_deflected,shot_statsbomb_xg,outcome_name,season_name,goal,shot_distance,angle,centrality
0,18,1,Switzerland,Granit Xhaka,Left Defensive Midfield,96.0,38.8,108.2,38.5,Left Foot,Half Volley,From Kick Off,False,True,False,False,False,0.036565553,Blocked,2022,0,24.029981273400946,0.30194152867142876,1.2000000000000028
0,22,1,Switzerland,Breel-Donald Embolo,Center Forward,113.1,40.7,114.8,40.6,Left Foot,Half Volley,From Kick Off,False,True,False,False,False,0.35328916,Saved,2022,0,6.935416353759886,0.9687758991335282,0.7000000000000028
0,23,1,Switzerland,Granit Xhaka,Left Defensive Midfield,103.8,41.9,115.5,39.1,Right Foot,Half Volley,From Kick Off,False,True,False,False,False,0.06952749,Saved,2022,0,16.311039206623228,0.4388304920749396,1.8999999999999986
4,35,1,Serbia,Nikola Milenković,Right Center Back,112.2,36.8,120.0,35.3,Head,Normal,From Corner,False,False,False,False,False,0.08160872,Off T,2022,0,8.430895563343196,0.7802718975377605,3.200000000000003
10,5,1,Serbia,Andrija Živković,Right Wing Back,97.8,51.5,120.0,36.1,Left Foot,Normal,Regular Play,False,False,False,False,False,0.030001678,Post,2022,0,25.00179993520467,0.2596642551548874,11.5
10,7,1,Serbia,Dušan Vlahović,Right Center Forward,115.4,38.6,118.1,39.1,Other,Normal,Regular Play,False,False,True,False,False,0.5168786,Saved,2022,0,4.808326112068517,1.289648186274849,1.3999999999999986
13,35,1,Switzerland,Remo Freuler,Right Defensive Midfield,107.8,35.9,113.3,34.4,Left Foot,Half Volley,From Free Kick,False,True,False,False,False,0.09611784,Blocked,2022,0,12.870508925446579,0.5304670896231038,4.100000000000001
19,11,1,Switzerland,Xherdan Shaqiri,Right Wing,107.5,50.6,120.0,43.1,Left Foot,Normal,From Free Kick,False,True,False,False,True,0.06969889,Goal,2022,1,16.38932579455299,0.3442466164132687,10.600000000000001
21,11,1,Switzerland,Granit Xhaka,Left Defensive Midfield,97.3,33.7,116.9,38.7,Left Foot,Normal,Regular Play,False,True,False,False,False,0.04476528,Saved,2022,0,23.558013498595336,0.2976935591347847,6.299999999999997
22,15,1,Serbia,Dušan Vlahović,Right Center Forward,109.6,35.4,118.4,38.7,Head,Normal,From Free Kick,False,False,True,False,False,0.08628477,Saved,2022,0,11.371895180663605,0.5810735191082591,4.600000000000001
25,56,1,Serbia,Aleksandar Mitrović,Left Center Forward,108.3,38.6,120.0,43.3,Head,Normal,Regular Play,False,False,False,False,False,0.06371751,Goal,2022,1,11.783462988442746,0.5990004013421677,1.3999999999999986
29,53,1,Switzerland,Xherdan Shaqiri,Right Wing,107.7,49.2,120.0,44.5,Left Foot,Normal,From Free Kick,True,False,True,False,False,0.3934682,Off T,2022,0,15.360013020827815,0.3844601168838225,9.200000000000003
34,28,1,Serbia,Dušan Vlahović,Right Center Forward,106.2,31.8,120.0,43.7,Left Foot,Normal,From Counter,False,True,False,False,False,0.15928414,Goal,2022,1,16.05241414865689,0.3921052482772436,8.2
37,26,1,Switzerland,Ruben Vargas,Left Wing,101.0,47.3,105.9,45.2,Right Foot,Normal,From Throw In,False,True,False,False,False,0.0683221,Blocked,2022,0,20.354115063052973,0.3339321312052081,7.299999999999997
43,41,1,Switzerland,Breel-Donald Embolo,Center Forward,114.4,36.9,120.0,37.8,Right Foot,Normal,Regular Play,False,True,False,True,False,0.72697556,Goal,2022,1,6.4007812023221,0.97864384767343,3.1000000000000014
47,38,1,Serbia,Aleksandar Mitrović,Left Center Forward,101.7,33.7,105.3,37.4,Right Foot,Volley,From Throw In,False,True,False,False,False,0.056521177,Wayward,2022,0,19.35406933954717,0.35515356097626505,6.299999999999997
47,38,2,Switzerland,Remo Freuler,Right Defensive Midfield,107.2,41.2,120.0,42.7,Left Foot,Half Volley,From Free Kick,False,True,False,False,False,0.15381548,Goal,2022,1,12.856126943990555,0.5527462922445698,1.2000000000000028
