minute,second,period,under_pressure,shot_first_time,shot_one_on_one,shot_open_goal,shot_deflected,x,y,end_x,end_y,goal,shot_angle,distance_from_center,shot_body_part_Left Foot,shot_body_part_Other,shot_body_part_Right Foot,shot_technique_Diving Header,shot_technique_Half Volley,shot_technique_Lob,shot_technique_Normal,shot_technique_Overhead Kick,shot_technique_Volley,play_pattern_From Counter,play_pattern_From Free Kick,play_pattern_From Goal Kick,play_pattern_From Keeper,play_pattern_From Kick Off,play_pattern_From Throw In,play_pattern_Other,play_pattern_Regular Play,shot_distance
3,36,1,1,0,0,0,0,106.7,42.1,115.6,48.4,0,0.5719181998612622,2.1000000000000014,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,13.46476884316994
6,10,1,0,1,0,0,0,109.1,35.5,120.0,46.6,0,0.6164727778213255,4.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.792370414806353
7,8,1,0,0,0,0,0,113.6,23.8,120.0,45.7,0,0.1762993754107764,16.2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,17.418381095842406
13,4,1,0,0,0,0,0,91.8,40.2,118.1,40.2,0,0.2817943012054184,0.2000000000000028,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28.20070921094007
20,1,1,0,0,0,0,0,111.0,31.3,113.6,34.4,0,0.4730140225056151,8.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12.51758762701504
20,2,1,0,1,0,0,0,117.0,31.6,120.0,35.0,0,0.3610446465053665,8.399999999999999,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.919641248391102
33,9,1,0,0,1,0,0,114.0,27.5,117.9,35.8,0,0.2658919483382586,12.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,13.865424623862047
34,14,1,1,0,0,0,0,108.7,39.5,109.4,39.6,0,0.6793431022862156,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.311056537742171
36,22,1,1,0,0,0,0,111.0,26.4,111.7,27.3,0,0.280454145247605,13.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,16.308280105516953
37,1,1,1,0,0,0,0,112.1,44.3,120.0,36.9,1,0.7721280602647332,4.299999999999997,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.994442728707547
49,28,1,0,0,0,0,0,87.2,34.1,118.4,38.7,0,0.2352720082823113,5.899999999999999,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,33.32641594891356
48,47,2,1,1,0,0,0,110.1,36.8,111.1,37.1,0,0.7094291623606064,3.200000000000003,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,10.404326023342414
49,1,2,0,1,0,0,0,110.0,47.3,116.0,43.3,0,0.5276078530663781,7.299999999999997,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,12.381033882515627
57,52,2,1,0,0,0,0,91.7,37.7,120.0,25.0,0,0.2790416300390296,2.299999999999997,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,28.39330907097656
59,1,2,0,0,0,0,0,111.3,42.4,118.9,38.4,0,0.8161178558586151,2.3999999999999986,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,9.024965373894796
61,12,2,0,0,0,0,0,85.6,44.3,117.9,37.5,0,0.2280333279136905,4.299999999999997,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,34.66770831768377
61,40,2,0,0,0,0,0,111.4,47.2,120.0,43.5,1,0.5597446028009259,7.200000000000003,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.21605991424796
67,58,2,0,0,0,0,0,109.7,40.5,120.0,36.1,0,0.739465459669455,0.5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,10.312128781197409
73,55,2,0,1,0,0,0,109.9,41.3,120.0,34.5,0,0.7444714744725462,1.2999999999999972,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,10.183319694480767
80,14,2,0,1,0,0,0,115.4,36.5,120.0,43.7,1,1.1289011373021731,3.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5.780138406647366
89,12,2,0,0,0,0,0,102.9,46.8,104.7,45.9,0,0.4010138762012663,6.799999999999997,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,18.4024454896625
93,55,2,0,0,0,0,0,97.4,55.3,117.4,0.1,0,0.2431538476341344,15.299999999999995,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,27.291940202191554
95,12,2,0,1,0,0,0,91.0,44.4,102.1,33.8,0,0.2681470865260454,4.399999999999999,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,29.331893904076495
0,15,1,1,1,0,0,0,105.4,26.1,120.0,54.1,0,0.2907257351595729,13.9,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,20.15862098458125
18,49,1,0,0,0,0,0,100.8,54.3,120.0,45.6,0,0.2690156427181037,14.299999999999995,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,23.94013366712893
26,38,1,0,0,0,0,0,110.5,48.5,116.6,43.0,0,0.4785516544062042,8.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12.747548783981962
42,50,1,0,0,0,0,0,94.0,24.7,118.6,37.8,0,0.2285731336396444,15.3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,30.167697956589265
45,29,1,0,0,0,0,0,97.8,52.1,120.0,35.5,0,0.2776002027875089,12.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,25.283393759541067
