id,index,period,timestamp,minute,second,possession,duration,match_id,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,end_x,end_y,body_part_id,body_part_name,sub_type_id,sub_type_name,x,y,pass_cross,outcome_id,outcome_name,under_pressure,shot_statsbomb_xg,technique_id,technique_name,shot_first_time,goalkeeper_position_id,goalkeeper_position_name,pass_assisted_shot_id,pass_shot_assist,end_z,shot_key_pass_id,off_camera,pass_deflected,counterpress,aerial_won,pass_switch,out,foul_won_defensive,shot_one_on_one,pass_cut_back,block_offensive,foul_committed_card_id,foul_committed_card_name,pass_goal_assist,shot_deflected,block_deflection,foul_committed_advantage,foul_won_advantage,pass_miscommunication,ball_recovery_recovery_failure,dribble_nutmeg,shot_open_goal,substitution_replacement_id,substitution_replacement_name,injury_stoppage_in_chain,bad_behaviour_card_id,bad_behaviour_card_name
61d52e72-a8ff-49c4-be02-057b1ea0fb15,20,1,00:00:18.696000,0,18,2,0.380264,3857256,16,Shot,773,Switzerland,9,From Kick Off,773,Switzerland,,3500.0,Granit Xhaka,11.0,Left Defensive Midfield,,,,,,,108.2,38.5,38.0,Left Foot,87.0,Open Play,96.0,38.8,,96.0,Blocked,,0.036565553,91.0,Half Volley,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa77495b-0e7b-44f0-a2eb-11605085943a,25,1,00:00:22.129000,0,22,2,0.175803,3857256,16,Shot,773,Switzerland,9,From Kick Off,773,Switzerland,,5545.0,Breel-Donald Embolo,23.0,Center Forward,,,,,,,114.8,40.6,38.0,Left Foot,87.0,Open Play,113.1,40.7,,100.0,Saved,,0.35328916,91.0,Half Volley,True,,,,,1.6,72ccec71-b08d-4931-bc08-cffee978637f,,,,,,,,,,,,,,,,,,,,,,,,,,
51026369-a4ad-4a71-b14a-6e7f8b764772,28,1,00:00:23.845000,0,23,2,0.495575,3857256,16,Shot,773,Switzerland,9,From Kick Off,773,Switzerland,,3500.0,Granit Xhaka,11.0,Left Defensive Midfield,,,,,,,115.5,39.1,40.0,Right Foot,87.0,Open Play,103.8,41.9,,100.0,Saved,,0.06952749,91.0,Half Volley,True,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6ac240f5-8b84-4c06-8153-b56109c8c5e6,196,1,00:04:35.297000,4,35,11,0.848375,3857256,16,Shot,786,Serbia,2,From Corner,786,Serbia,,5603.0,Nikola Milenković,3.0,Right Center Back,,,,,,,120.0,35.3,37.0,Head,87.0,Open Play,112.2,36.8,,98.0,Off T,,0.08160872,93.0,Normal,,,,,,3.5,6211767c-543c-48ec-ab72-10eb7928e569,,,,,,,,,,,,,,,,,,,,,,,,,,
00e599c0-5234-4b6a-9b91-d6f789a311b0,356,1,00:10:05.636000,10,5,24,0.934407,3857256,16,Shot,786,Serbia,1,Regular Play,786,Serbia,,6318.0,Andrija Živković,7.0,Right Wing Back,,,,,,,120.0,36.1,38.0,Left Foot,87.0,Open Play,97.8,51.5,,99.0,Post,,0.030001678,93.0,Normal,,,,,,0.6,792b7a48-0f44-4c21-8372-3511c68845e7,,,,,,,,,,,,,,,,,,,,,,,,,,
457d529f-b36e-45f8-b168-ee76254acf0a,361,1,00:10:07.249000,10,7,24,0.34191,3857256,16,Shot,786,Serbia,1,Regular Play,786,Serbia,,18015.0,Dušan Vlahović,22.0,Right Center Forward,,,,,,,118.1,39.1,70.0,Other,87.0,Open Play,115.4,38.6,,100.0,Saved,,0.5168786,93.0,Normal,,,,,,1.0,,,,,,,,,True,,,,,,,,,,,,,,,,,,
b6e10a35-3d7a-40ac-b68e-7118fffbe9ab,474,1,00:13:35.895000,13,35,36,0.258584,3857256,16,Shot,773,Switzerland,3,From Free Kick,773,Switzerland,,6983.0,Remo Freuler,9.0,Right Defensive Midfield,,,,,,,113.3,34.4,38.0,Left Foot,87.0,Open Play,107.8,35.9,,96.0,Blocked,,0.09611784,91.0,Half Volley,True,,,,,,00aa3124-ef55-494c-936d-dc337064410b,,,,,,,,,,,,,,,,,,,,,,,,,,
c7c1917b-2c74-40a4-94a0-dc7a9137a766,682,1,00:19:11.927000,19,11,44,0.180553,3857256,16,Shot,773,Switzerland,3,From Free Kick,773,Switzerland,,3533.0,Xherdan Shaqiri,17.0,Right Wing,,,,,,,120.0,43.1,38.0,Left Foot,87.0,Open Play,107.5,50.6,,97.0,Goal,,0.06969889,93.0,Normal,True,,,,,0.2,efecda09-b02e-4f1a-aed9-49a0124f43d8,,,,,,,,,,,,,,True,,,,,,,,,,,,
97f840a8-4545-46a7-a9b3-8e91be859de5,721,1,00:21:11.621000,21,11,47,0.874012,3857256,16,Shot,773,Switzerland,1,Regular Play,773,Switzerland,,3500.0,Granit Xhaka,11.0,Left Defensive Midfield,,,,,,,116.9,38.7,38.0,Left Foot,87.0,Open Play,97.3,33.7,,100.0,Saved,,0.04476528,93.0,Normal,True,,,,,0.2,8c7a3584-3c55-4cee-85c0-a74db60645a8,,,,,,,,,,,,,,,,,,,,,,,,,,
aaae9647-f552-4341-8d43-de39a7facbee,763,1,00:22:15.278000,22,15,52,2.461241,3857256,16,Shot,786,Serbia,3,From Free Kick,786,Serbia,,18015.0,Dušan Vlahović,22.0,Right Center Forward,,,,,,,118.4,38.7,37.0,Head,87.0,Open Play,109.6,35.4,,100.0,Saved,,0.08628477,93.0,Normal,,,,,,1.4,beb0878d-92a3-4b67-b95b-717bc32c3b3b,,,,,,,,True,,,,,,,,,,,,,,,,,,
